Name,Team,GmSc,PTS,AST,TRB
Nikola Jokić,DEN,30.567391304347826,29.695652173913043,10.326086956521738,12.695652173913043
Shai Gilgeous-Alexander,OKC,26.741999999999997,32.44,5.9,5.22
Giannis Antetokounmpo,MIL,26.376190476190477,31.61904761904762,5.976190476190476,12.333333333333334
Anthony Davis,LAL,23.104761904761904,25.738095238095237,3.357142857142857,11.857142857142858
Luka Dončić,DAL,22.7,28.136363636363637,7.818181818181818,8.318181818181818
Trey Murphy III,NOP,21.54375,25.625,4.1875,5.625
Karl-Anthony Towns,NYK,21.232608695652175,24.32608695652174,3.3260869565217392,13.608695652173912
LeBron James,LAL,20.943478260869565,24.456521739130434,9.043478260869565,7.782608695652174
Domantas Sabonis,SAC,20.695833333333333,20.395833333333332,6.333333333333333,14.270833333333334
Victor Wembanyama,SAS,20.67209302325581,24.41860465116279,3.627906976744186,10.906976744186046
Tyrese Maxey,PHI,20.46818181818182,27.84090909090909,6.204545454545454,3.4318181818181817
Jayson Tatum,BOS,20.430612244897958,26.551020408163264,5.653061224489796,8.653061224489797
